Reference, Value, Footprint, Datasheet,In Hand?
C1,1u,Capacitors_SMD:C_0805,,x
C10,1u,Capacitors_SMD:C_0805,,x
C11,1u,Capacitors_SMD:C_0805,,x
C12,1u,Capacitors_SMD:C_0805,,x
C13,1u,Capacitors_SMD:C_0805,,x
C14,1u,Capacitors_SMD:C_0805,,x
C15,100n,Capacitors_SMD:C_0805,,x
C16,100n,Capacitors_SMD:C_0805,,x
C17,1u,Capacitors_SMD:C_0805,,x
C18,22u,Imac:2917C,,
C19,100n,Capacitors_SMD:C_0805,,x
C2,68n,Capacitors_SMD:C_0805,,x
C20,100n,Capacitors_SMD:C_0805,,x
C3,68n,Capacitors_SMD:C_0805,,x
C4,10n,Capacitors_SMD:C_0805,,x
C5,10n,Capacitors_SMD:C_0805,,x
C6,220p*,Capacitors_SMD:C_0805_HandSoldering,,x
C7,1u,Capacitors_SMD:C_0805,,x
C8,1u,Capacitors_SMD:C_0805,,x
C9,220u,Capacitors_SMD:c_elec_6.3x7.7,,
D1,1N4148,Imac:SOD-323F,,
D2,KP-2012LSGC,LEDs:LED_0805,,
D3,CLP6B-WKW,Imac:PLCC6-3in1-SMD-LED,,
D4,CLP6B-WKW,Imac:PLCC6-3in1-SMD-LED,,
D5,CLP6B-WKW,Imac:PLCC6-3in1-SMD-LED,,
J1,EXT_IN,Lumberg:Lumberg_1503_03,,x
J2,STEREO_OUT,Lumberg:Lumberg_1503_03,,x
P1,PROBE1,Imac:PSG01546_RCA_Phono_Connector,,x
P2,PATCHBAY_IO,Socket_Strips:Socket_Strip_Straight_2x12,,
P3,PROBE2,Imac:PSG01546_RCA_Phono_Connector,,x
P4,EXT_OUT,Imac:TerminalBlock_TE_282834-2-2.54mm_2pol,,x
P5,INPUTS,Socket_Strips:Socket_Strip_Angled_1x05,,
P6,PATCHBAY_A,Imac:Socket_Strip_Straight_3x06,,
P7,PWR_X3,Imac:TerminalBlock_TE_282834-3-2.54mm_3pol,,x
Q1,NX3008N***,imac:SC-70-BIG-PADS,,
Q2,PMV48XP,TO_SOT_Packages_SMD:SOT-23,,
Q3,NX3008N***,imac:SC-70-BIG-PADS,,
Q4,NX3008N***,imac:SC-70-BIG-PADS,,
R1,33k,Resistors_SMD:R_0805,,
R10,1k5,Resistors_SMD:R_0805,,
R11,27****,Resistors_SMD:R_1812_HandSoldering,,
R12,100***,Resistors_SMD:R_0805_HandSoldering,,
R13,27,Resistors_SMD:R_1812,,
R14,1meg,Resistors_SMD:R_0805,,
R15,3k3,Resistors_SMD:R_0805,,
R16,100,Resistors_SMD:R_0805,,
R17,100***,Resistors_SMD:R_0805_HandSoldering,,
R18,100*,Resistors_SMD:R_0805_HandSoldering,,
R19,27****,Resistors_SMD:R_1812_HandSoldering,,
R2,100**,Resistors_SMD:R_0805_HandSoldering,,
R3,1k,Resistors_SMD:R_0805,,
R4,220,Resistors_SMD:R_0805,,
R5,220,Resistors_SMD:R_0805,,
R6,3k3,Resistors_SMD:R_0805,,
R7,100,Resistors_SMD:R_0805,,
R8,100,Resistors_SMD:R_0805,,
R9,100***,Resistors_SMD:R_0805_HandSoldering,,
RV1,100k,Imac:Pot_Bourns_PTV09A-4_Horizontal_Rear_mount,,x
RV2,100k,Imac:Pot_Bourns_PTV09A-4_Horizontal_Rear_mount,,x
RV3,100k,Imac:Dual_Pot_Bourns_3301H-00X,,
RV4,100k,Imac:Dual_Pot_Bourns_3301H-00X,,
RV5,100k**,Imac:Trimpot_Bourns_3386F_Vishay_M63,,
RV6,100k†,Imac:Trimpot_Bourns_Big_Pads_3386F_Vishay_M63,,
RV7,100k†,Imac:Trimpot_Bourns_Big_Pads_3386F_Vishay_M63,,
RV8,100k,Imac:Pot_Bourns_PTV09A-4_Horizontal_Rear_mount,,x
RV9,100k,Imac:Pot_Bourns_PTV09A-4_Horizontal_Rear_mount,,x
SW1,RESET_SW,Imac:EVQ_BUT,,
U1,MCP6004,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,,
U2,MCP6002,Imac:SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,,
U3,NCP4620,TO_SOT_Packages_SMD:SC-70-5,,
U4,ADG849,TO_SOT_Packages_SMD:SC-70-6,,
U5,arduino_pro_micro,Imac:arduino_pro_micro,,
U6,NCP1117-5,TO_SOT_Packages_SMD:SOT-223,,
